name,source,school,level,ritual,time,range,components,duration,description,save,save_type,attack,attack_type,Lists
Melfs Acid Arrow,Player's Handbook,evocation,2nd-level,FALSE,1 action,90 feet,"V, S, M (powdered rhubarb leaf and an adder’s stomach)",Instantaneous,"a shimmering green arrow streaks toward a target within range and bursts in a spray of acid. make a ranged spell attack against the target. on a hit, the target takes 4d4 acid damage immediately and 2d4 acid damage at the end of its next turn. on a miss, the arrow splashes the target with acid for half as much of the initial damage and no damage at the end of its next turn. at higher levels. when you cast this spell using a spell slot of 3rd level or higher, the damage (both initial and later) increases by 1d4 for each slot level above 2nd.",FALSE,FALSE,TRUE,ranged spell attack,wizard
Mental Barrier,"Unearthed Arcana 66 - Fighter, Rogue, and Wizard",abjuration,2nd-level,FALSE,"1 reaction, which you take when you are forced to make an Intelligence, a Wisdom, or a Charisma saving throw",Self,V,1 round,"you protect your mind with a wall of looping, repetitive thought. until the start of your next turn, you have advantage on intelligence, wisdom, and charisma saving throws, and you have resistance to psychic damage.",TRUE,['charisma'],FALSE,FALSE,"sorcerer, warlock, wizard"
Mind Spike,Xanathar's Guide to Everything,divination,2nd-level,FALSE,1 action,60 feet,S,"Concentration, up to 1 hour","you reach into the mind of one creature you can see within range. the target must make a wisdom saving throw, taking 3d8 psychic damage on a failed save, or half as much damage on a successful one. on a failed save, you also always know the target's location until the spell ends, but only while the two of you are on the same plane of existence. while you have this knowledge, the target can’t become hidden from you, and if it’s invisible, it gains no benefit from that condition against you. at higher levels. when you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd.",TRUE,['wisdom'],FALSE,FALSE,"sorcerer, warlock, wizard"
Mind Thrust,Unearthed Arcana 71 - Psionic Options Revisited,enchantment,2nd-level,FALSE,1 bonus action,60 feet,"V, S",1 round,"you thrust a lance of psychic disruption into the mind of one creature you can see within range. the target must make an intelligence saving throw. on a failed save, the target takes 3d6 psychic damage, and it can’t take a reaction until the end of its next turn. moreover, on its next turn, it must choose whether it gets a move, an action, or a bonus action; it gets only one of the three. on a successful save, the target takes half as much damage and suffers none of the spell’s other effects. at higher levels. when you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd. the creatures must be within 30 feet of each other when you target them.",TRUE,['intelligence'],FALSE,FALSE,"sorcerer, warlock, wizard"
Mirror Image,Player's Handbook,illusion,2nd-level,FALSE,1 action,Self,"V, S",1 minute,"three illusory duplicates of yourself appear in your space. until the spell ends, the duplicates move with you and mimic your actions, shifting position so it’s impossible to track which image is real. you can use your action to dismiss the illusory duplicates. each time a creature targets you with an attack during the spell’s duration, roll a d20 to determine whether the attack instead targets one of your duplicates. if you have three duplicates, you must roll a 6 or higher to change the attack’s target to a duplicate. with two duplicates, you must roll an 8 or higher. with one duplicate, you must roll an 11 or higher. a duplicate’s ac equals 10 + your dexterity modifier. if an attack hits a duplicate, the duplicate is destroyed. a duplicate can be destroyed only by an attack that hits it. it ignores all other damage and effects. the spell ends when all three duplicates are destroyed. a creature is unaffected by this spell if it can’t see, if it relies on senses other than sight, such as blindsight, or if it can perceive illusions as false, as with truesight.",FALSE,FALSE,FALSE,FALSE,"bard (optional), sorcerer, warlock, wizard"
Misty Step,Player's Handbook,conjuration,2nd-level,FALSE,1 bonus action,Self,V,Instantaneous,"briefly surrounded by silvery mist, you teleport up to 30 feet to an unoccupied space that you can see.",FALSE,FALSE,FALSE,FALSE,"sorcerer, warlock, wizard"
Moonbeam,Player's Handbook,evocation,2nd-level,FALSE,1 action,120 feet,"V, S, M (several seeds of any moonseed plant and a piece of opalescent feldspar)","Concentration, up to 1 minute","a silvery beam of pale light shines down in a 5-foot radius, 40-foot-high cylinder centered on a point within range. until the spell ends, dim light fills the cylinder. when a creature enters the spell’s area for the first time on a turn or starts its turn there, it is engulfed in ghostly flames that cause searing pain, and it must make a constitution saving throw. it takes 2d10 radiant damage on a failed save, or half as much damage on a successful one. a shapechanger makes its saving throw with disadvantage. if it fails, it also instantly reverts to its original form and can’t assume a different form until it leaves the spell’s light. on each of your turns after you cast this spell, you can use an action to move the beam up to 60 feet in any direction. at higher levels. when you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d10 for each slot level above 2nd.",TRUE,"['constitution', 'its']",FALSE,FALSE,druid
Nathairs Mischief,Fizban's Treasury of Dragons,Illusion,2nd-level,FALSE,1 Action,60ft,"S, M (a piece of crust from an apple pie)","Concentration, up to 1 minute","you fill a 20-foot cube you can see within range with fey and draconic magic. roll on the mischievous surge table to determine the magical effect produced, and roll again at the start of each of your turns until the spell ends. you can move the cube up to 10 feet before you roll.",FALSE,FALSE,FALSE,FALSE,"bard, sorcerer, wizard"
Nathairs Mischief Ua,Unearthed Arcana 78 - Draconic Options,illusion,2nd-level,FALSE,1 action,60 feet,"S, M (a piece of crust from an apple pie)","Concentration, up to 1 minute","you fill a 20-foot cube centered on a point you choose within range with fey and draconic magic. roll on the mischievous surge table to determine the magical effect produced. at the start of each of your turns, you can move the cube up to 10 feet and reroll on the table.",FALSE,FALSE,FALSE,FALSE,"bard, sorcerer, wizard"
Nystuls Magic Aura,Player's Handbook,illusion,2nd-level,FALSE,1 action,Touch,"V, S, M (a small square of silk)",24 hours,"you place an illusion on a creature or an object you touch so that divination spells reveal false information about it. the target can be a willing creature or an object that isn’t being carried or worn by another creature. when you cast the spell, choose one or both of the following effects. the effect lasts for the duration. if you cast this spell on the same creature or object every day for 30 days, placing the same effect on it each time, the illusion lasts until it is dispelled. false aura. you change the way the target appears to spells and magical effects, such as detect magic, that detect magical auras. you can make a nonmagical object appear magical, a magical object appear nonmagical, or change the object’s magical aura so that it appears to belong to a specific school of magic that you choose. when you use this effect on an object, you can make the false magic apparent to any creature that handles the item. mask. you change the way the target appears to spells and magical effects that detect creature types, such as a paladin’s divine sense or the trigger of a symbol spell. you choose a creature type and other spells and magical effects treat the target as if it were a creature of that type or of that alignment.",FALSE,FALSE,FALSE,FALSE,wizard
Pass Without Trace,Player's Handbook,abjuration,2nd-level,FALSE,1 action,Self,"V, S, M (ashes from a burned leaf of mistletoe and a sprig of spruce)","Concentration, up to 1 hour","a veil of shadows and silence radiates from you, masking you and your companions from detection. for the duration, each creature you choose within 30 feet of you (including you) has a +10 bonus to dexterity (stealth) checks and can’t be tracked except by magical means. a creature that receives this bonus leaves behind no tracks or other traces of its passage.",FALSE,FALSE,FALSE,FALSE,"druid, ranger"
Phantasmal Force,Player's Handbook,illusion,2nd-level,FALSE,1 action,60 feet,"V, S, M (a bit of fleece)","Concentration, up to 1 minute","you craft an illusion that takes root in the mind of a creature that you can see within range. the target must make an intelligence saving throw. on a failed save, you create a phantasmal object, creature, or other visible phenomenon of your choice that is no larger than a 10-foot cube and that is perceivable only to the target for the duration. this spell has no effect on undead or constructs. the phantasm includes sound, temperature, and other stimuli, also evident only to the creature. the target can use its action to examine the phantasm with an intelligence (investigation) check against your spell save dc. if the check succeeds, the target realizes that the phantasm is an illusion, and the spell ends. while a target is affected by the spell, the target treats the phantasm as if it were real. the target rationalizes any illogical outcomes from interacting with the phantasm. for example, a target attempting to walk across a phantasmal bridge that spans a chasm falls once it steps onto the bridge. if the target survives the fall, it still believes that the bridge exists and comes up with some other explanation for its fall; it was pushed, it slipped, or a strong wind might have knocked it off. an affected target is so convinced of the phantasm’s reality that it can even take damage from the illusion. a phantasm created to appear as a creature can attack the target. similarly, a phantasm created to appear as fire, a pool of acid, or lava can burn the target. each round on your turn, the phantasm can deal 1d6 psychic damage to the target if it is in the phantasm’s area or within 5 feet of the phantasm, provided that the illusion is of a creature or hazard that could logically deal damage, such as by attacking. the target perceives the damage as a type appropriate to the illusion.",TRUE,['intelligence'],FALSE,FALSE,"bard, sorcerer, wizard"
Prayer Of Healing,Player's Handbook,evocation,2nd-level,FALSE,10 minutes,30 feet,V,Instantaneous,"up to six creatures of your choice that you can see within range each regain hit points equal to 2d8 + your spellcasting ability modifier. this spell has no effect on undead or constructs. at higher levels. when you cast this spell using a spell slot of 3rd level or higher, the healing increases by 1d8 for each slot level above 2nd.",FALSE,FALSE,FALSE,FALSE,"cleric, paladin (optional)"
Protection From Poison,Player's Handbook,abjuration,2nd-level,FALSE,1 action,Touch,"V, S",1 hour,"you touch a creature. if it is poisoned, you neutralize the poison. if more than one poison afflicts the target, you neutralize one poison that you know is present, or you neutralize one at random. for the duration, the target has advantage on saving throws against being poisoned, and it has resistance to poison damage.",TRUE,['on'],FALSE,FALSE,"artificer, cleric, druid, paladin, ranger"
Pyrotechnics,Xanathar's Guide to Everything,transmutation,2nd-level,FALSE,1 action,60 feet,"V, S",Instantaneous,"choose an area of flame that you can see and that can fit within a 5-foot cube within range. you can extinguish the fire in that area, and you create either fireworks or smoke. fireworks. the target explodes with a dazzling display of colors. each creature within 10 feet of the target must succeed on a constitution saving throw or become blinded until the end of your next turn. smoke. thick black smoke spreads out from the target in a 20-foot radius, moving around corners. the area of the smoke is heavily obscured. the smoke persists for 1 minute or until a strong wind disperses it.",TRUE,['constitution'],FALSE,FALSE,"bard, sorcerer, wizard, artificer"
Ray Of Enfeeblement,Player's Handbook,necromancy,2nd-level,FALSE,1 action,60 feet,"V, S","Concentration, up to 1 minute","a black beam of enervating energy springs from your finger toward a creature within range. make a ranged spell attack against the target. on a hit, the target deals only half damage with weapon attacks that use strength until the spell ends. at the end of each of the target’s turns, it can make a constitution saving throw against the spell. on a success, the spell ends.",TRUE,['constitution'],TRUE,ranged spell attack,"warlock, wizard"
Rimes Binding Ice,Fizban's Treasury of Dragons,Evocation,2nd-level,FALSE,1 Action,Self (30-foot cone),"S, M (a vial of meltwater)",Instantaneous,"a burst of cold energy emanates from you in a 30-foot cone. each creature in that area must make a constitution saving throw. on a failed save, a creature takes 3d8 cold damage and is hindered by ice formations for 1 minute, or until it or another creature within reach of it uses an action to break away the ice. a creature hindered by ice has its speed reduced to 0. on a successful save, a creature takes half as much damage and isn’t hindered by ice. at higher levels. when you cast this spell using a spell slot of 3rd level or higher, increase the cold damage by 1d8 for each slot level above 2nd.",TRUE,['constitution'],FALSE,FALSE,"sorcerer, wizard"
Rope Trick,Player's Handbook,transmutation,2nd-level,FALSE,1 action,Touch,"V, S, M (powdered corn extract and a twisted loop of parchment)",1 hour,"you touch a length of rope that is up to 60 feet long. one end of the rope then rises into the air until the whole rope hangs perpendicular to the ground. at the upper end of the rope, an invisible entrance opens to an extradimensional space that lasts until the spell ends. the extradimensional space can be reached by climbing to the top of the rope. the space can hold as many as eight medium or smaller creatures. the rope can be pulled into the space, making the rope disappear from view outside the space. attacks and spells can’t cross through the entrance into or out of the extradimensional space, but those inside can see out of it as if through a 3-foot-by-5-foot window centered on the rope. anything inside the extradimensional space drops out when the spell ends.",FALSE,FALSE,FALSE,FALSE,"artificer, wizard"
Scorching Ray,Player's Handbook,evocation,2nd-level,FALSE,1 action,120 feet,"V, S",Instantaneous,"you create three rays of fire and hurl them at targets within range. you can hurl them at one target or several. make a ranged spell attack for each ray. on a hit, the target takes 2d6 fire damage. at higher levels. when you cast this spell using a spell slot of 3rd level or higher, you create one additional ray for each slot level above 2nd.",FALSE,FALSE,TRUE,ranged spell attack,"sorcerer, wizard"
See Invisibility,Player's Handbook,divination,2nd-level,FALSE,1 action,Self,"V, S, M (a pinch of talc and a small sprinkling of powdered silver)",1 hour,"for the duration, you see invisible creatures and objects as if they were visible, and you can see into the ethereal plane. ethereal creatures and objects appear ghostly and translucent.",FALSE,FALSE,FALSE,FALSE,"artificer, bard, sorcerer, wizard"
Shadow Blade,Xanathar's Guide to Everything,illusion,2nd-level,FALSE,1 bonus action,Self,"V, S","Concentration, up to 1 minute","you weave together threads of shadow to create a sword of solidified gloom in your hand. this magic sword lasts until the spell ends. it counts as a simple melee weapon with which you are proficient. it deals 2d8 psychic damage on a hit and has the finesse, light, and thrown properties (range 20/60). in addition, when you use the sword to attack a target that is in dim light or darkness, you make the attack roll with advantage. if you drop the weapon or throw it, it dissipates at the end of the turn. thereafter, while the spell persists, you can use a bonus action to cause the sword to reappear in your hand. at higher levels. when you cast this spell using a 3rd- or 4th-level spell slot, the damage increases to 3d8. when you cast it using a 5th- or 6th-level spell slot, the damage increases to 4d8. when you cast it using a spell slot of 7th level or higher, the damage increases to 5d8.",FALSE,FALSE,FALSE,FALSE,"sorcerer, warlock, wizard"
Shatter,Player's Handbook,evocation,2nd-level,FALSE,1 action,60 feet,"V, S, M (a chip of mica)",Instantaneous,"a sudden loud ringing noise, painfully intense, erupts from a point of your choice within range. each creature in a 10-foot-radius sphere centered on that point must make a constitution saving throw. a creature takes 3d8 thunder damage on a failed save, or half as much damage on a successful one. a creature made of inorganic material such as stone, crystal, or metal has disadvantage on this saving throw. a nonmagical object that isn’t being worn or carried also takes the damage if it’s in the spell’s area. at higher levels. when you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd.",TRUE,"['constitution', 'this']",FALSE,FALSE,"bard, sorcerer, warlock, wizard"
Silence,Player's Handbook,illusion,2nd-level,TRUE,1 action,120 feet,"V, S","Concentration, up to 10 minutes","for the duration, no sound can be created within or pass through a 20-foot-radius sphere centered on a point you choose within range. any creature or object entirely inside the sphere is immune to thunder damage, and creatures are deafened while entirely inside it. casting a spell that includes a verbal component is impossible there.",FALSE,FALSE,FALSE,FALSE,"bard, cleric, ranger"
Skywrite,Xanathar's Guide to Everything,transmutation,2nd-level,TRUE,1 action,Sight,"V, S","Concentration, up to 1 day",you cause up to ten words to form in a part of the sky you can see. the words appear to be made of cloud and remain in place for the spell’s duration. the words dissipate when the spell ends. a strong wind can disperse the clouds and end the spell early.,FALSE,FALSE,FALSE,FALSE,"bard, druid, wizard, artificer"
Snillocs Snowball Storm,Xanathar's Guide to Everything,evocation,2nd-level,FALSE,1 action,90 feet,"V, S, M (a piece of ice or a small white rock chip)",Instantaneous,"a flurry of magic snowballs erupts from a point you choose within range. each creature in a 5-foot-radius sphere centered on that point must make a dexterity saving throw. a creature takes 3d6 cold damage on a failed save, or half as much damage on a successful one. at higher levels. when you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d6 for each slot level above 2nd.",TRUE,['dexterity'],FALSE,FALSE,"sorcerer, wizard"
Spider Climb,Player's Handbook,transmutation,2nd-level,FALSE,1 action,Touch,"V, S, M (a drop of bitumen and a spider)","Concentration, up to 1 hour","until the spell ends, one willing creature you touch gains the ability to move up, down, and across vertical surfaces and upside down along ceilings, while leaving its hands free. the target also gains a climbing speed equal to its walking speed.",FALSE,FALSE,FALSE,FALSE,"artificer, sorcerer, warlock, wizard"
Spike Growth,Player's Handbook,transmutation,2nd-level,FALSE,1 action,150 feet,"V, S, M (seven sharp thorns or seven small twigs, each sharpened to a point)","Concentration, up to 10 minutes","the ground in a 20-foot radius centered on a point within range twists and sprouts hard spikes and thorns. the area becomes difficult terrain for the duration. when a creature moves into or within the area, it takes 2d4 piercing damage for every 5 feet it travels. the transformation of the ground is camouflaged to look natural. any creature that can’t see the area at the time the spell is cast must make a wisdom (perception) check against your spell save dc to recognize the terrain as hazardous before entering it.",FALSE,FALSE,FALSE,FALSE,"druid, ranger"
Spiritual Weapon,Player's Handbook,evocation,2nd-level,FALSE,1 bonus action,60 feet,"V, S",1 minute,"you create a floating, spectral weapon within range that lasts for the duration or until you cast this spell again. when you cast the spell, you can make a melee spell attack against a creature within 5 feet of the weapon. on a hit, the target takes force damage equal to 1d8 + your spellcasting ability modifier. as a bonus action on your turn, you can move the weapon up to 20 feet and repeat the attack against a creature within 5 feet of it. the weapon can take whatever form you choose. clerics of deities who are associated with a particular weapon (as st. cuthbert is known for his mace and thor for his hammer) make this spell’s effect resemble that weapon. at higher levels. when you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for every two slot levels above the 2nd.",FALSE,FALSE,TRUE,melee spell attack,cleric
Spray Of Cards,The Book of Many Things,conjuration,2nd-level,FALSE,1 action,Self (15-foot cone),"V, S, M (a deck of cards)",Instantaneous,"you spray a 15-foot cone of spectral cards. each creature in that area must make a dexterity saving throw. on a failed save, a creature takes 2d10 force damage and has the blinded condition until the end of its next turn. on a successful save, a creature takes half as much damage only. at higher levels. when you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d10 for each slot level above 2nd.",TRUE,['dexterity'],FALSE,FALSE,"bard, sorcerer, warlock, wizard"
Suggestion,Player's Handbook,enchantment,2nd-level,FALSE,1 action,30 feet,"V, M (a snake’s tongue and either a bit of honeycomb or a drop of sweet oil)","Concentration, up to 8 hours","you suggest a course of activity (limited to a sentence or two) and magically influence a creature you can see within range that can hear and understand you. creatures that can’t be charmed are immune to this effect. the suggestion must be worded in such a manner as to make the course of action sound reasonable. asking the creature to stab itself, throw itself onto a spear, immolate itself, or do some other obviously harmful act ends the spell. the target must make a wisdom saving throw. on a failed save, it purses the course of action you described to the best of its ability. the suggested course of action can continue for the entire duration. if the suggested activity can be completed in a shorter time, the spell ends when the subject finishes what it was asked to do. you can also specify conditions that will trigger a special activity during the duration. for example, you might suggest that a knight give her warhorse to the first beggar she meets. if the condition isn’t met before the spell expires, the activity isn’t preformed. if you or any of your companions damage the target, the spell ends.",TRUE,['wisdom'],FALSE,FALSE,"bard, sorcerer, warlock, wizard"
Summon Beast,Tasha's Cauldron of Everything,conjuration,2nd-level,FALSE,1 action,90 feet,"V, S, M (a feather, tuft of fur, and fish tail inside a gilded acorn worth at least 200 gp)","Concentration, up to 1 hour","you call forth a bestial spirit. it manifests in an unoccupied space that you can see within range. this corporeal form uses the bestial spirit stat block. when you cast the spell, choose an environment: air, land, or water. the creature resembles an animal of your choice that is native to the chosen environment, which determines certain traits in its stat block. the creature disappears when it drops to 0 hit points or when the spell ends. the creature is an ally to you and your companions. in combat, the creature shares your initiative count, but it takes its turn immediately after yours. it obeys your verbal commands (no action required by you). if you don’t issue any, it takes the dodge action and uses its move to avoid danger. at higher levels. when you cast this spell using a spell slot of 3rd level or higher, use the higher level where the spell’s level appears in the stat block.",FALSE,FALSE,FALSE,FALSE,"druid (optional), ranger (optional)"
Tashas Mind Whip,Tasha's Cauldron of Everything,enchantment,2nd-level,FALSE,1 action,90 feet,V,1 round,"you psychically lash out at one creature you can see within range. the target must make an intelligence saving throw. on a failed save, the target takes 3d6 psychic damage, and it can’t take a reaction until the end of its next turn. moreover, on its next turn, it must choose whether it gets a move, an action, or a bonus action; it gets only one of the three. on a successful save, the target takes half as much damage and suffers none of the spell’s other effects. at higher levels. when you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd. the creatures must be within 30 feet of each other when you target them.",TRUE,['intelligence'],FALSE,FALSE,"sorcerer (optional), wizard (optional)"
Thought Shield,"Unearthed Arcana 66 - Fighter, Rogue, and Wizard",abjuration,2nd-level,FALSE,1 action,Touch,"V, S",8 hours,"you weave a clouding veil over the mind of one creature you touch. for the duration, the target’s mind can’t be read or detected, creatures can’t telepathically communicate with the target unless the target allows it, and the target has advantage on saving throws against any effect that would determine whether it is telling the truth.",TRUE,['on'],FALSE,FALSE,"sorcerer, warlock, wizard"
Vortex Warp,Strixhaven: A Curriculum of Chaos,Conjuration,2nd-level,FALSE,1 action,90 feet,"V, S",Instantaneous,"you magically twist space around another creature you can see within range. the target must succeed on a constitution saving throw (the target can choose to fail), or the target is teleported to an unoccupied space of your choice that you can see within range. the chosen space must be on a surface or in a liquid that can support the target without the target having to squeeze. at higher levels. when you cast this spell using a spell slot of 3rd level or higher, the range of the spell increases by 30 feet for each slot level above 2nd.",TRUE,['constitution'],FALSE,FALSE,"artificer, sorcerer, wizard"
Warding Bond,Player's Handbook,abjuration,2nd-level,FALSE,1 action,Touch,"V, S, M (a pair of platinum rings worth at least 50 gp each, which you and target must wear for the duration)",1 hour,"this spell wards a willing creature you touch and creates a mystic connection between you and the target until the spell ends. while the target is within 60 feet of you, it gains a +1 bonus to ac and saving throws, and it has resistance to all damage. also, each time it takes damage, you take the same amount of damage. the spell ends if you drop to 0 hit points or if you and the target become separated by more than 60 feet. it also ends if the spell is cast again on either of the connected creatures. you can also dismiss the spell as an action.",TRUE,['and'],FALSE,FALSE,"cleric, paladin (optional)"
Warding Wind,Xanathar's Guide to Everything,evocation,2nd-level,FALSE,1 action,Self,V,"Concentration, up to 10 minutes","a strong wind (20 miles per hour) blows around you in a 10-foot radius and moves with you, remaining centered on you. the wind lasts for the spell’s duration. the wind has the following effects:",FALSE,FALSE,FALSE,FALSE,"bard, druid, sorcerer, wizard"
Warp Sense,Planescape - Adventures in the Multiverse,divination,2nd-Level,FALSE,1 action,Self,"V, S, M (a razorvine leaf)","Concentration, up to 1 minute","for the duration, you sense the presence of portals, even inactive ones, within 30 feet of yourself.
if you detect a portal in this way, you can use your action to study it. make a dc 15 ability check using your spellcasting ability. on a successful check, you learn the destination plane of the portal and what portal key it requires, then the spell ends. on a failed check, you learn nothing and can't study that portal again using this spell until you cast it again.
the spell can penetrate most barriers but is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.",FALSE,FALSE,FALSE,FALSE,"sorcerer, warlock, wizard"
Web,Player's Handbook,conjuration,2nd-level,FALSE,1 action,60 feet,"V, S, M (a bit of spiderweb)","Concentration, up to 1 hour","you conjure a mass of thick, sticky webbing at a point of your choice within range. the webs fill a 20-foot cube from that point for the duration. the webs are difficult terrain and lightly obscure their area. if the webs aren’t anchored between two solid masses (such as walls or trees) or layered across a floor, wall, or ceiling, the conjured web collapses on itself, and the spell ends at the start of your next turn. webs layered over a flat surface have a depth of 5 feet. each creature that starts its turn in the webs or that enters them during its turn must make a dexterity saving throw. on a failed save, the creature is restrained as long as it remains in the webs or until it breaks free. a creature restrained by the webs can use its action to make a strength check against your spell save dc. if it succeeds, it is no longer restrained. the webs are flammable. any 5-foot cube of webs exposed to fire burns away in 1 round, dealing 2d4 fire damage to any creature that starts its turn in the fire.",TRUE,['dexterity'],FALSE,FALSE,"artificer, sorcerer, wizard"
Wither And Bloom,Strixhaven: A Curriculum of Chaos,Necromancy,2nd-level,FALSE,1 action,60 feet,"V, S, M (a withered vine twisted into a loop)",Instantaneous,"you invoke both death and life upon a 10-foot-radius sphere centered on a point within range. each creature of your choice in that area must make a constitution saving throw, taking 2d6 necrotic damage on a failed save, or half as much damage on a successful one. nonmagical vegetation in that area withers. in addition, one creature of your choice in that area can spend and roll one of its unspent hit dice and regain a number of hit points equal to the roll plus your spellcasting ability modifier. at higher levels. when you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d6 for each slot above 2nd, and the number of hit dice that can be spent and added to the healing roll increases by one for each slot above 2nd.",TRUE,['constitution'],FALSE,FALSE,"druid, sorcerer, wizard"
Wristpocket,Explorer's Guide to Wildemount,conjuration,2nd-level,TRUE,1 action,Self,S,"Concentration, up to 1 hour","you flick your wrist, causing one object in your hand to vanish. the object, which only you can be holding and can weigh no more than 5 pounds, is transported to an extradimensional space, where it remains for the duration. until the spell ends, you can use your action to summon the object to your free hand, and you can use your action to return the object to the extradimensional space. an object still in the pocket plane when the spell ends appears in your space, at your feet.",FALSE,FALSE,FALSE,FALSE,wizard (dunamancy)
Zone Of Truth,Player's Handbook,enchantment,2nd-level,FALSE,1 action,60 feet,"V, S",10 minutes,"you create a magical zone that guards against deception in a 15-foot-radius sphere centered on a point of your choice within range. until the spell ends, a creature that enters the spell’s area for the first time on a turn or starts its turn there must make a charisma saving throw. on a failed save, a creature can’t speak a deliberate lie while in the radius. you know whether each creature succeeds or fails on its saving throw. an affected creature is aware of the spell and can thus avoid answering questions to which it would normally respond with a lie. such creatures can be evasive in its answers as long as it remains within the boundaries of the truth.",TRUE,"['charisma', 'its']",FALSE,FALSE,"bard, cleric, paladin"
Animate Dead,Player's Handbook,necromancy,3rd-level,FALSE,1 minute,10 feet,"V, S, M (a drop of blood, a piece of flesh, and a pinch of bone dust)",Instantaneous,"this spell creates an undead servant. choose a pile of bones or a corpse of a medium or small humanoid within range. your spell imbues the target with a foul mimicry of life, raising it as an undead creature. the target becomes a skeleton if you chose bones or a zombie if you chose a corpse (the dm has the creature’s game statistics). on each of your turns, you can use a bonus action to mentally command any creature you made with this spell if the creature is within 60 feet of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). you decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. if you issue no commands, the creature only defends itself against hostile creatures. once given an order, the creature continues to follow it until its task is complete. the creature is under your control for 24 hours, after which it stops obeying any command you’ve given it. to maintain the control of the creature for another 24 hours, you must cast this spell on the creature again before the current 24-hour period ends. this use of the spell reasserts your control over up to four creatures you have animated with this spell, rather than animating a new one. at higher levels. when you cast this spell using a spell slot of 4th level or higher, you animate or reassert control over two additional undead creatures for each slot level above 3rd. each of the creatures must come from a different corpse or pile of bones.",FALSE,FALSE,FALSE,FALSE,"cleric, wizard"
Antagonize,The Book of Many Things,Enchantment,4th level,FALSE,1 action,30 feet,"['V', 'S', 'M (a playing card depicting a rogue) Duration: Instantaneous You whisper magical words that antagonize one creature of your choice within range. The target must make a Wisdom saving throw. On a failed save', 'the target takes 4d4 psychic damage and must immediately use its reaction to make a melee attack against another creature of your choice that you can see. If the target can’t make this attack (for example', 'because there is no one within its reach or because its reaction is unavailable)', 'the target instead has disadvantage on the next attack roll it makes before the start of your next turn. On a successful save', 'the target takes half as much damage only. At Higher Levels. When you cast this spell using a spell slot of 4th level or higher', 'the damage increases by 1d4 for each slot level above 3rd. Spell Lists. Bard', 'Sorcerer', 'Warlock', 'Wizard']",Instantaneous,"you whisper magical words that antagonize one creature of your choice within range. the target must make a wisdom saving throw. on a failed save, the target takes 4d4 psychic damage and must immediately use its reaction to make a melee attack against another creature of your choice that you can see. if the target can’t make this attack (for example, because there is no one within its reach or because its reaction is unavailable), the target instead has disadvantage on the next attack roll it makes before the start of your next turn. on a successful save, the target takes half as much damage only. at higher levels. when you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d4 for each slot level above 3rd.",TRUE,['wisdom'],FALSE,FALSE,"bard, sorcerer, warlock, wizard"
Ashardalons Stride,Fizban's Treasury of Dragons,Transmutation,3rd-level,FALSE,1 bonus action,Self,"V,S","Concentration, up to 1 minute","the billowing flames of a dragon blast from your feet, granting you explosive speed. for the duration, your speed increases by 20 feet and moving doesn’t provoke opportunity attacks. when you move within 5 feet of a creature or an object that isn’t being worn or carried, it takes 1d6 fire damage from your trail of heat. a creature or object can take this damage only once during a turn. at higher levels. when you cast this spell using a spell slot of 4th level or higher, increase your speed by 5 feet for each spell slot level above 3rd. the spell deals an additional 1d6 fire damage for each slot level above 3rd.",FALSE,FALSE,FALSE,FALSE,"artificer, ranger, sorcerer, wizard"
Aura Of Vitality,Player's Handbook,evocation,3rd-level,FALSE,1 action,Self (30-foot radius),V,"Concentration, up to 1 minute","healing energy radiates from you in an aura with a 30-foot radius. until the spell ends, the aura moves with you, centered on you. you can use a bonus action to cause one creature in the aura (including you) to regain 2d6 hit points.",FALSE,FALSE,FALSE,FALSE,"cleric (optional), druid (optional), paladin"
Beacon Of Hope,Player's Handbook,abjuration,3rd-level,FALSE,1 action,30 feet,"V, S","Concentration, up to 1 minute","this spell bestows hope and vitality. choose any number of creatures within range. for the duration, each target has advantage on wisdom saving throws and death saving throws, and regains the maximum number of hit points possible from any healing.",TRUE,"['wisdom', 'death']",FALSE,FALSE,cleric
